constituency_id,tmc_voteshare,bjp_voteshare,left_voteshare,cong_voteshare,others_voteshare,tmc_minus_bjp_margin,winner,total_votes
113,0.5342,0.3149,0.0,0.1256,0.0252,0.2193,tmc,160259
114,0.4748,0.3306,0.1654,0.0,0.0292,0.1442,tmc,185334
115,0.5422,0.302,0.1343,0.0,0.0215,0.2402,tmc,234906
116,0.4685,0.4191,0.0,0.0791,0.0332,0.0494,tmc,162035
117,0.4904,0.3489,0.1371,0.0,0.0235,0.1415,tmc,178723
118,0.4893,0.2804,0.0,0.0,0.2303,0.2089,tmc,230431
119,0.4627,0.3573,0.1514,0.0,0.0286,0.1054,tmc,225707
120,0.467,0.1793,0.0137,0.0,0.34,0.2877,tmc,214380
121,0.5734,0.1693,0.0,0.0,0.2572,0.4041,tmc,227395
122,0.5172,0.2542,0.2101,0.0,0.0186,0.263,tmc,212352
123,0.5464,0.3536,0.0,0.0,0.1,0.1928,tmc,205787
124,0.4915,0.3877,0.0,0.0979,0.0228,0.1038,tmc,235737
125,0.5755,0.1992,0.0,0.0,0.2252,0.3763,tmc,238426
126,0.5378,0.4098,0.0,0.0,0.0523,0.128,tmc,194681
127,0.5399,0.4188,0.0,0.0,0.0412,0.1211,tmc,195808
128,0.521,0.2843,0.0,0.0,0.1947,0.2367,tmc,213910
129,0.5157,0.3082,0.088,0.0,0.0882,0.2075,tmc,227351
130,0.5185,0.423,0.0,0.0439,0.0146,0.0955,tmc,231786
131,0.5214,0.4062,0.0,0.0557,0.0168,0.1152,tmc,219597
132,0.5396,0.4148,0.038,0.0,0.0076,0.1248,tmc,239067
133,0.5001,0.325,0.0,0.0,0.175,0.1751,tmc,193130
134,0.4847,0.3357,0.1547,0.0,0.0249,0.149,tmc,238720
135,0.4804,0.3626,0.0,0.0,0.157,0.1178,tmc,199490
136,0.5185,0.3274,0.0858,0.0,0.0684,0.1911,tmc,202431
137,0.5475,0.327,0.0954,0.0,0.0302,0.2205,tmc,225114
138,0.5086,0.3472,0.0,0.0545,0.0896,0.1614,tmc,218354
139,0.5254,0.1482,0.0,0.0,0.3263,0.3772,tmc,232766
140,0.5727,0.2797,0.1213,0.0,0.0263,0.293,tmc,211293
141,0.5382,0.2758,0.1641,0.0,0.0219,0.2624,tmc,206153
142,0.4993,0.2577,0.0,0.0,0.243,0.2416,tmc,194282
143,0.4369,0.3615,0.1718,0.0,0.0298,0.0754,tmc,225397
144,0.5635,0.3675,0.0,0.0358,0.0332,0.196,tmc,207932
145,0.5037,0.4047,0.0689,0.0,0.0228,0.099,tmc,235546
146,0.5746,0.327,0.0757,0.0,0.0227,0.2476,tmc,237570
147,0.4692,0.3567,0.0,0.0,0.1742,0.1125,tmc,232807
148,0.3431,0.1599,0.0204,0.0,0.4767,0.1832,others,242185
149,0.5439,0.2588,0.1756,0.0,0.0217,0.2851,tmc,223154
150,0.4554,0.2467,0.275,0.0,0.023,0.2087,tmc,215419
151,0.4988,0.3487,0.1222,0.0,0.0302,0.1501,tmc,240495
152,0.514,0.2602,0.2057,0.0,0.0201,0.2538,tmc,197365
153,0.5001,0.3315,0.136,0.0,0.0324,0.1686,tmc,221872
154,0.4951,0.2756,0.2049,0.0,0.0243,0.2195,tmc,231816
155,0.5638,0.3003,0.1149,0.0,0.021,0.2635,tmc,219969
156,0.5641,0.358,0.0,0.0498,0.028,0.2061,tmc,216892
157,0.7685,0.16,0.0,0.0,0.0715,0.6085,tmc,196582
158,0.6923,0.2426,0.0,0.0367,0.0283,0.4497,tmc,152443
159,0.5771,0.3516,0.0,0.0409,0.0304,0.2255,tmc,127376
160,0.5279,0.3559,0.0,0.0829,0.0333,0.172,tmc,124455
161,0.706,0.2068,0.0561,0.0,0.031,0.4992,tmc,150962
162,0.6287,0.222,0.0,0.128,0.0212,0.4067,tmc,111493
163,0.6483,0.277,0.0,0.0,0.0747,0.3713,tmc,156874
164,0.651,0.2274,0.0886,0.0,0.033,0.4236,tmc,158506
165,0.5267,0.398,0.0,0.0482,0.0271,0.1287,tmc,98955
166,0.5418,0.3231,0.1052,0.0,0.03,0.2187,tmc,102970
167,0.5082,0.356,0.1016,0.0,0.0341,0.1522,tmc,132967
168,0.5648,0.3024,0.1094,0.0,0.0233,0.2624,tmc,134872
169,0.4238,0.3743,0.1751,0.0,0.0268,0.0495,tmc,125872
170,0.4781,0.4412,0.0543,0.0,0.0264,0.0369,tmc,149720
171,0.5716,0.3331,0.0,0.0663,0.0289,0.2385,tmc,195144
172,0.5069,0.328,0.137,0.0,0.028,0.1789,tmc,182219
173,0.5386,0.3055,0.1258,0.0,0.0302,0.2331,tmc,216940
174,0.5037,0.3217,0.1537,0.0,0.0209,0.182,tmc,222127
175,0.4819,0.331,0.0,0.0,0.1872,0.1509,tmc,217009
176,0.4483,0.3595,0.0,0.0,0.1922,0.0888,tmc,193021
177,0.4925,0.3795,0.1038,0.0,0.0242,0.113,tmc,185780
178,0.5037,0.3631,0.1044,0.0,0.0288,0.1406,tmc,202266
179,0.5174,0.3754,0.0,0.092,0.0153,0.142,tmc,221889
180,0.5304,0.3797,0.0728,0.0,0.0171,0.1507,tmc,199935
181,0.4906,0.3651,0.0,0.1202,0.024,0.1255,tmc,208810
182,0.5121,0.4415,0.0,0.0261,0.0202,0.0706,tmc,198211
183,0.4945,0.3706,0.0,0.0,0.1349,0.1239,tmc,235721
184,0.52,0.3501,0.0907,0.0,0.0392,0.1699,tmc,250978
185,0.4696,0.2896,0.2198,0.0,0.0209,0.18,tmc,199894
186,0.4946,0.37,0.0,0.1032,0.0323,0.1246,tmc,188081
187,0.502,0.3525,0.0,0.1157,0.0298,0.1495,tmc,201131
188,0.4815,0.358,0.143,0.0,0.0176,0.1235,tmc,209938
189,0.4763,0.306,0.185,0.0,0.0327,0.1703,tmc,182178
190,0.4597,0.3874,0.113,0.0,0.0399,0.0723,tmc,254737
191,0.4563,0.43,0.0899,0.0,0.0239,0.0263,tmc,219957
192,0.4599,0.3175,0.1854,0.0,0.0371,0.1424,tmc,223664
193,0.4856,0.4348,0.0,0.0434,0.0363,0.0508,tmc,192190
194,0.4979,0.2983,0.1794,0.0,0.0244,0.1996,tmc,207106
